#JobTime,MS_LOC_X,MS_LOC_Y,MS_LOC_Z,SP_MAGNITUDE
#Time,DD:MM:YY:HH:MM:SS,,,
25:02:10:11:22:51,655.31,-509.3,-1611.96,0.738
25:02:10:11:22:53,661.69,-520.59,-1625.82,0.678
25:02:10:11:22:58,593.35,-576.36,-1548.88,0.433
25:02:10:11:23:06,579.82,-571.32,-1506.03,0.385
25:02:10:11:23:06,606.79,-620.63,-1552.37,0.481
25:02:10:11:23:09,602.23,-555.46,-1644.2,0.517
25:02:10:11:23:19,703.04,-668.23,-1508.24,0.604
25:02:10:11:23:21,667.77,-543.14,-1708.62,0.932
25:02:10:11:23:30,634.47,-585.81,-1647.02,0.633
25:02:10:11:23:33,669.09,-601.46,-1614.35,0.677
25:02:10:11:23:37,659.04,-681.16,-1545.57,0.516
25:02:10:11:23:42,683.47,-597.36,-1609.22,0.705
25:02:10:11:23:48,660.6,-551.86,-1613.92,0.873
25:02:10:11:23:54,428.21,-919.88,-1498.57,0.639
25:02:10:11:23:55,684.19,-575.59,-1624.31,0.747
25:02:10:11:23:56,598.2,-612.12,-1548.93,0.396
25:02:10:11:23:57,732.33,-568.79,-1658.45,1.073
25:02:10:11:24:02,605.69,-598.23,-1496.93,0.422
25:02:10:11:24:09,681.45,-549,-1727.79,0.822
25:02:10:11:24:21,610.56,-607.63,-1571.69,0.409
25:02:10:11:24:37,708.78,-688.32,-1606.23,0.682
25:02:10:11:24:54,718.15,-708.38,-1690.88,0.788
25:02:10:11:24:54,718.15,-708.38,-1690.88,0.802
25:02:10:11:24:57,646.82,-650.89,-1543.66,0.463
25:02:10:11:24:59,676.12,-602.14,-1655.17,0.655
25:02:10:11:25:15,625.2,-636.81,-1678.8,0.664
25:02:10:11:25:15,679.35,-619.25,-1608.18,0.595
25:02:10:11:25:18,639.95,-633.45,-1671.12,0.601
25:02:10:11:25:18,774.05,-651.78,-1719.77,1.161
25:02:10:11:25:18,774.05,-651.78,-1719.77,1.237
25:02:10:11:25:18,774.05,-651.78,-1719.77,1.159
25:02:10:11:25:22,579.09,-687.91,-1548.92,0.389
25:02:10:11:25:23,585.31,-557.23,-1554.23,0.456
25:02:10:11:25:32,781.68,-694.61,-1501.38,0.75
25:02:10:11:25:35,614.49,-622.11,-1688.67,0.596
25:02:10:11:25:40,597.3,-595.96,-1556.77,0.484
25:02:10:11:25:41,617.15,-574.21,-1583.32,0.583
25:02:10:11:25:43,771.01,-675.87,-1739.28,0.999
25:02:10:11:25:49,532.19,-594.17,-1504.44,0.295
25:02:10:11:25:50,730.31,-683.76,-1594.08,0.782
25:02:10:11:25:54,604.81,-634.04,-1547.8,0.45
25:02:10:11:25:55,612.97,-586.22,-1554.17,0.489
25:02:10:11:26:03,731.03,-669.64,-1570.34,0.769
